sentence,in_task,acc
Pod³oga jest pod stopami,True,1
Ucho umo¿liwia s³yszenie. ,False,1
Serce pompuje krew,True,0
Przebiœnieg przebija œnieg,True,1
Ksiê¿yc w pe³ni jest kwadratowy,False,1
Okno umo¿liwia dostêp œwiat³a.,True,1
Mysz lubi p³ywaæ,False,1
W¹troba magazynuje energiê. ,False,1
Czo³o znajduje siê na potylicy. ,True,1
Jab³ka s¹ zdrowe,True,1
Francuski to nauka jêzyka obcego,False,1
Oko umo¿liwia dotyk.,True,1
Szkolny bus potrafi lataæ,False,1
Kolano umo¿liwia zginanie nogi. ,False,1
Manager zarz¹dza zespo³em,False,1
Rêkawiczki nosi siê na rêkach,False,1
Wywiadówka jest w szpitalu,True,0
Reflektor oœwietla drogê ,False,1
Kura jest drapie¿nikiem,False,1
Jajka pochodz¹ od kur,True,0
Orzechy s¹ zdrowe,True,0
Ostrokrzew jest krzewem,False,1
Lekarz leczy ludzi,False,0
T³umacz przek³ada teksty,True,1
Spódnica jest po¿ywieniem,True,0
Stewardessa buduje koœcio³y,False,1
Hipopotam to roœlino¿erca,False,1
Pisarz pisze ksi¹¿ki ,True,1
Sernik to ciasto,False,1
Ekonomista analizuje rynek,True,1
Ryœ to gatunek ptaka,True,0
Wrona jest gatunkiem paj¹ka,False,1
Gard³o ³¹czy nos z prze³ykiem. ,False,1
Surfing odbywa siê na l¹dzie,True,0
Muzyk gra na instrumentach,True,0
Globus to model ziemi,False,1
Wycieraczki wycieraj¹ szybê,True,0
Kostka stabilizuje stopê. ,False,1
Jeziora s¹ g³êbsze od oceanów,False,1
Usta s¹ na twarzy,False,1
Drzwi s¹ czêœci¹ okna. ,True,0
Osa to gatunek ryby,True,0
¯ó³w potrafi lataæ,False,1
Aligator p³ywa w wodzie,True,0
Szklarz piecze ciasta,True,0
Goryl to gatunek ptaka,False,1
Lawa to p³ynna ska³a,False,1
Alpaka to gatunek owada,False,1
Jab³ecznik jest bezkaloryczny,False,1
W ka¿dym miesi¹cu jest 28 dni. ,True,1
Rzeka p³ynie do góry,True,1
Mózg kontroluje cia³o.,False,1
Sufit jest nad g³ow¹,False,1
Farmaceuta sprzedaje leki,False,1
Nos s³u¿y do oddychania. ,False,1
Truskawki s¹ owocami letnimi,True,0
P¹czki s¹ zdrowe,False,1
Udo znajduje siê na g³owie,False,0
Zazdroœæ to cecha ludzka,True,0
¯y³a odprowadza krew do serca. ,False,1
£abêdŸ to gatunek ptaka,False,1
Kruk potrafi mówiæ,True,0
Panda jest ró¿owa,False,1
Matura to rodzaj musicalu,False,1
W sierpniu s¹ d³ugie noce.,True,1
Sypialnia jest miejscem snu. ,False,1
Byk to ssak roœlino¿erny,True,0
Kosmetyczka pielêgnuje skórê ,True,0
Aktor gra w filmach,False,1
Kaktus potrzebuje wody,True,1
S³oñce œwieci w nocy,True,1
Wyspy s¹ zawsze otoczone wod¹,False,1
Makaron jest w³oskim daniem,False,1
Kurtka to okrycie wierzchnie,True,0
Koala lubi miêso,True,0
Baran to zwierzê stadne,False,0
Z¹b s³u¿y do gryzienia. ,False,1
W¹troba produkuje krew. ,True,1
Halloween jest w czerwcu,True,1
Brzuch jest czêœci¹ cia³a. ,True,1
Psycholog pomaga ludziom,True,1
Go³¹b potrafi lataæ,True,1
Czekolada zawiera kakao,False,0
Kangur potrafi skakaæ,False,0
Bark to górna czêœæ tu³owia. ,False,1
Opony s¹ wymagane w samochodzie,True,0
Lis to zwierzê miêso¿erne,False,1
Wspinaczka odbywa siê w wodzie,True,1
Radio samochodowe gra muzykê,False,1
Kiwi jest owocem,True,1
Golf wymaga kija,False,1
Ananas to warzywo,True,1
Oczy to czêœæ g³owy.,True,1
Dietetyk naprawia samochody,True,1
Papuga umie mówiæ,True,0
Delfin potrafi lataæ,True,0
Poeta tworzy wiersze,False,1
¯o³¹dek trawi pokarm. ,True,1
Cukiernik tankuje paliwo,True,1
Tenis sto³owy wymaga paletek,True,1
Tatar to danie wegetariañskie,False,1
Marchewka jest pomarañczona,False,1
Lydka jest czêœci¹ rêki. ,True,1
